# Sensor Masthugget, Majorna-Linné, Sweden (Citizen Science project sensor.community/13439)
# https://aqicn.org/station/@60853/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-02-19T00:00:00.000Z,0.55,2.48,1.2,0.9,1.42,0.348,440
2020-02-20T00:00:00.000Z,0.36,10.05,2.44,1.55,3.5,2.372,495
2020-02-21T00:00:00.000Z,0.86,4.04,2.2,1.75,2.87,0.647,429
2020-02-22T00:00:00.000Z,0.86,4.43,2.33,1.82,2.88,0.746,451
2020-02-23T00:00:00.000Z,0.38,6.48,2.76,1.86,3.85,1.262,448
2020-02-24T00:00:00.000Z,0.43,5.57,1.1,0.85,1.42,0.486,524
2020-02-25T00:00:00.000Z,0,1.7,0.4,0.25,0.65,0.344,461
2020-02-26T00:00:00.000Z,0.15,1.35,0.45,0.35,0.6,0.212,404
2020-02-27T00:00:00.000Z,0.2,2.25,0.85,0.64,1.1,0.366,549
2020-02-28T00:00:00.000Z,0.16,3.48,0.99,0.45,1.48,0.593,563
2020-02-29T00:00:00.000Z,0.94,4.92,2.62,2.04,3.37,0.855,565
2020-03-01T00:00:00.000Z,0.73,6.4,1.86,1.45,2.33,0.584,574
2020-03-02T00:00:00.000Z,1.2,4.07,2.27,1.92,2.54,0.479,481
2020-03-03T00:00:00.000Z,0.34,5.28,1,0.8,1.34,0.971,422
2020-03-04T00:00:00.000Z,0.3,9.19,1.25,0.8,1.65,0.738,576
2020-03-05T00:00:00.000Z,0.22,6.67,1,0.8,1.21,0.519,577
2020-03-06T00:00:00.000Z,0.7,3.85,1.52,1.21,1.86,0.527,577
2020-03-07T00:00:00.000Z,2.02,12.47,4.98,4.46,8.09,2.271,579
2020-03-08T00:00:00.000Z,2.63,16.23,8.3,6.68,11.34,3.487,579
2020-03-09T00:00:00.000Z,0.8,14.5,4.05,2.62,6.22,2.61,570
2020-03-10T00:00:00.000Z,0.15,10.5,2.85,1.94,4.07,2.375,565
2020-03-11T00:00:00.000Z,1.82,5.09,2.95,2.5,3.45,0.622,379
2020-03-12T00:00:00.000Z,0.12,4.13,1.7,1.09,2.22,0.813,513
2020-03-13T00:00:00.000Z,0.15,3.8,0.5,0.36,0.75,0.674,530
2020-03-14T00:00:00.000Z,0.05,2.34,0.52,0.34,0.86,0.357,540
2020-03-15T00:00:00.000Z,3.16,6.26,4.55,4.05,5.26,0.746,285
2020-03-16T00:00:00.000Z,0.65,10.13,1.51,1.12,2.48,1.09,573
2020-03-17T00:00:00.000Z,0.52,6.95,3.22,1.14,4.36,1.731,572
2020-03-18T00:00:00.000Z,0.78,9.97,2.12,1.65,4.63,2.347,501
2020-03-19T00:00:00.000Z,1.08,6.2,1.76,1.55,1.98,0.393,561
2020-03-20T00:00:00.000Z,0.2,2.44,0.66,0.44,1.3,0.546,486
2020-03-21T00:00:00.000Z,0.1,2.85,1.13,0.42,1.75,0.731,488
2020-03-22T00:00:00.000Z,0.15,2.54,0.67,0.4,1.15,0.552,475
2020-03-23T00:00:00.000Z,0.2,3.1,1.63,0.68,2.04,0.744,482
2020-03-24T00:00:00.000Z,1.92,6.27,2.99,2.65,3.65,0.812,485
2020-03-25T00:00:00.000Z,4.62,11.16,6.05,5.6,6.47,1.3,437
2020-03-26T00:00:00.000Z,5.35,15.4,8.26,6.92,10.88,2.563,443
2020-03-27T00:00:00.000Z,6.13,64.98,8.11,7.33,8.9,3.753,406
